year_frac,tsi,tsi_unc
1916.9583,1361.8834,0.1388
1917.0417,1361.8208,0.1561
1917.1250,1361.6605,0.1787
1917.2083,1362.1598,0.1727
1917.2917,1362.2158,0.1659
1917.3750,1362.2186,0.2022
1917.4583,1362.3381,0.2126
1917.5417,1362.4172,0.2142
1917.6250,1362.1058,0.2860
1917.7083,1362.5994,0.2298
1917.7917,1362.4226,0.1744
1917.8750,1362.1974,0.1750
1917.9583,1361.8901,0.2336
1918.0417,1362.0847,0.2000
1918.1250,1362.2183,0.1584
1918.2083,1361.9873,0.1528
1918.2917,1361.9664,0.1564
1918.3750,1362.1207,0.1579
1918.4583,1362.1075,0.1448
1918.5417,1362.0474,0.1812
1918.6250,1361.9673,0.1980
1918.7083,1362.2068,0.1614
1918.7917,1361.9984,0.1707
1918.8750,1362.0198,0.1642
1918.9583,1361.7893,0.1525
1919.0417,1361.7882,0.1329
1919.1250,1361.6238,0.1683
1919.2083,1361.7777,0.1586
1919.2917,1361.8538,0.1386
1919.3750,1361.6206,0.1859
1919.4583,1361.8641,0.2017
1919.5417,1362.1047,0.1521
1919.6250,1361.6517,0.1669
1919.7083,1361.6223,0.1423
1919.7917,1361.6583,0.1302
1919.8750,1361.5580,0.1281
1919.9583,1361.6888,0.1128
1920.0417,1361.2184,0.1452
1920.1250,1361.6831,0.1220
1920.2083,1361.4464,0.1616
1920.2917,1361.6401,0.1082
1920.3750,1361.5453,0.1051
1920.4583,1361.4446,0.1090
1920.5417,1361.4783,0.1048
1920.6250,1361.4990,0.0979
1920.7083,1361.2506,0.1146
1920.7917,1361.5660,0.1166
1920.8750,1361.4406,0.1112
1920.9583,1361.4618,0.1057
1921.0417,1361.4209,0.1051
1921.1250,1361.4761,0.1006
1921.2083,1361.4163,0.1014
1921.2917,1361.4836,0.1038
1921.3750,1361.2888,0.1051
1921.4583,1361.4395,0.1041
1921.5417,1361.4718,0.1136
1921.6250,1361.4694,0.0991
1921.7083,1361.3372,0.0941
1921.7917,1361.2659,0.0925
1921.8750,1361.1792,0.0968
1921.9583,1361.2872,0.0980
1922.0417,1361.3804,0.0893
1922.1250,1361.2815,0.0990
1922.2083,1361.1821,0.1410
1922.2917,1361.5211,0.0936
1922.3750,1361.2708,0.0863
1922.4583,1361.1909,0.0805
1922.5417,1361.1664,0.0823
1922.6250,1361.2206,0.0818
1922.7083,1361.2124,0.0811
1922.7917,1361.2211,0.0808
1922.8750,1361.1693,0.0816
1922.9583,1361.0708,0.0928
1923.0417,1361.2516,0.0819
1923.1250,1361.1923,0.0788
1923.2083,1361.1580,0.0779
1923.2917,1361.1815,0.0787
1923.3750,1361.1843,0.0782
1923.4583,1361.2007,0.0805
1923.5417,1361.2148,0.0793
1923.6250,1361.1868,0.0779
1923.7083,1361.2017,0.0812
1923.7917,1361.2468,0.0823
1923.8750,1361.2571,0.0822
1923.9583,1361.2147,0.0790
1924.0417,1361.1573,0.0767
1924.1250,1361.1528,0.0783
1924.2083,1361.2009,0.0785
1924.2917,1361.2217,0.0830
1924.3750,1361.3252,0.0879
1924.4583,1361.3529,0.0948
1924.5417,1361.4550,0.0970
1924.6250,1361.3428,0.0939
1924.7083,1361.3444,0.0951
1924.7917,1361.3352,0.0951
1924.8750,1361.2539,0.0976
1924.9583,1361.3657,0.0878
1925.0417,1361.3312,0.0830
1925.1250,1361.3115,0.0913
1925.2083,1361.3816,0.0903
1925.2917,1361.5272,0.0967
1925.3750,1361.4834,0.1124
1925.4583,1361.6890,0.1169
1925.5417,1361.7079,0.1122
1925.6250,1361.6420,0.1096
1925.7083,1361.7814,0.1249
1925.7917,1361.7036,0.1528
1925.8750,1361.5350,0.1621
1925.9583,1360.9612,0.2710
1926.0417,1361.2942,0.2148
1926.1250,1361.5765,0.1794
1926.2083,1361.6508,0.1546
1926.2917,1361.8228,0.1147
1926.3750,1361.5641,0.1413
1926.4583,1361.6482,0.1530
1926.5417,1361.8079,0.1357
1926.6250,1361.8555,0.1332
1926.7083,1361.6005,0.1481
1926.7917,1361.6854,0.1580
1926.8750,1362.0303,0.1362
1926.9583,1361.7714,0.1677
1927.0417,1361.6421,0.1874
1927.1250,1362.0010,0.1777
1927.2083,1362.1466,0.1483
1927.2917,1361.9412,0.1694
1927.3750,1362.0614,0.1511
1927.4583,1361.8927,0.1406
1927.5417,1361.8075,0.1347
1927.6250,1361.6256,0.1328
1927.7083,1361.6506,0.1447
1927.7917,1361.9001,0.1332
1927.8750,1361.8091,0.1470
1927.9583,1361.8906,0.1244
1928.0417,1361.6761,0.1716
1928.1250,1361.9255,0.1534
1928.2083,1361.8365,0.1772
1928.2917,1362.0005,0.1711
1928.3750,1361.9734,0.1682
1928.4583,1361.9706,0.1764
1928.5417,1361.8024,0.2002
1928.6250,1361.9998,0.1709
1928.7083,1361.5138,0.2147
1928.7917,1361.8912,0.1464
1928.8750,1361.7871,0.1311
1928.9583,1361.6077,0.1414
1929.0417,1361.7001,0.1432
1929.1250,1361.8435,0.1339
1929.2083,1361.6354,0.1381
1929.2917,1361.6832,0.1341
1929.3750,1361.7211,0.1330
1929.4583,1361.7275,0.1458
1929.5417,1361.8448,0.1456
1929.6250,1361.9867,0.1366
1929.7083,1361.9528,0.1156
1929.7917,1361.3795,0.1540
1929.8750,1361.1398,0.2126
1929.9583,1361.1484,0.2674
1930.0417,1361.9747,0.1515
1930.1250,1361.9122,0.1283
1930.2083,1361.5493,0.1148
1930.2917,1361.4604,0.1071
1930.3750,1361.4884,0.1030
1930.4583,1361.5588,0.0977
1930.5417,1361.5498,0.0918
1930.6250,1361.4492,0.0928
1930.7083,1361.5015,0.0977
1930.7917,1361.3520,0.1102
1930.8750,1361.4393,0.1080
1930.9583,1361.5966,0.0955
1931.0417,1361.4769,0.0887
1931.1250,1361.2970,0.1141
1931.2083,1361.4279,0.1035
1931.2917,1361.5295,0.0987
1931.3750,1361.4846,0.0933
1931.4583,1361.4097,0.0868
1931.5417,1361.4142,0.0851
1931.6250,1361.3740,0.0826
1931.7083,1361.3949,0.0844
1931.7917,1361.3480,0.0815
1931.8750,1361.3054,0.0862
1931.9583,1361.3511,0.0859
1932.0417,1361.3597,0.0826
1932.1250,1361.3224,0.0823
1932.2083,1361.3215,0.0819
1932.2917,1361.2484,0.0826
1932.3750,1361.2594,0.0857
1932.4583,1361.3258,0.0888
1932.5417,1361.3862,0.0829
1932.6250,1361.3005,0.0793
1932.7083,1361.2557,0.0762
1932.7917,1361.2592,0.0775
1932.8750,1361.2976,0.0792
1932.9583,1361.2406,0.0817
1933.0417,1361.3029,0.0817
1933.1250,1361.1592,0.0966
1933.2083,1361.3379,0.0824
1933.2917,1361.2823,0.0769
1933.3750,1361.2194,0.0747
1933.4583,1361.2208,0.0753
1933.5417,1361.2325,0.0748
1933.6250,1361.2115,0.0740
1933.7083,1361.2197,0.0747
1933.7917,1361.2117,0.0749
1933.8750,1361.2236,0.0743
1933.9583,1361.2040,0.0736
1934.0417,1361.2147,0.0743
1934.1250,1361.2764,0.0768
1934.2083,1361.2880,0.0763
1934.2917,1361.2106,0.0813
1934.3750,1361.2959,0.0851
1934.4583,1361.3297,0.0795
1934.5417,1361.3091,0.0784
1934.6250,1361.2840,0.0773
1934.7083,1361.2815,0.0753
1934.7917,1361.2999,0.0758
1934.8750,1361.3007,0.0772
1934.9583,1361.3716,0.0814
1935.0417,1361.3689,0.0849
1935.1250,1361.4528,0.0858
1935.2083,1361.5022,0.0886
1935.2917,1361.4672,0.0847
1935.3750,1361.4498,0.0922
1935.4583,1361.5055,0.1088
1935.5417,1361.6178,0.1045
1935.6250,1361.6604,0.1000
1935.7083,1361.6958,0.1070
1935.7917,1361.6924,0.1219
1935.8750,1361.4869,0.1579
1935.9583,1361.5392,0.1636
